Study,mean,SD,N,group,dementia_type,years_of_education,YoE_SD
Alladi et al 2013,65.4,10,98,monolingual,AD,5.9,5.1
Alladi et al 2013,68.6,9.6,142,bilingual,AD,12.9,4.9
Alladi et al 2013,55.6,10.5,49,monolingual,FTD,5.9,5.1
Alladi et al 2013,61.6,9,67,bilingual,FTD,12.9,4.9
Alladi et al 2013,57,10.7,87,monolingual,VaD,5.9,5.1
Alladi et al 2013,60.7,9.7,102,bilingual,VaD,12.9,4.9
Alladi et al 2013,66.7,11,7,monolingual,DLB,5.9,5.1
Alladi et al 2013,69,8.2,48,bilingual,DLB,12.9,4.9
Alladi et al 2013,70.1,10,16,monolingual,Mixed dementia,5.9,5.1
Alladi et al 2013,71.5,7.7,32,bilingual,Mixed dementia,12.9,4.9
Alladi et al 2017,58.4,9.3,72,monolingual,FTD,6.9,5.3
Alladi et al 2017,61.7,9.1,121,bilingual,FTD,13.9,4.3
Berkes et al 2020,75.5,7.6,83,monolingual,MCI,14.9,3.5
Berkes et al 2020,77.8,8.2,75,bilingual,MCI,13.9,3.6
Berkes et al 2020,78.2,7.7,83,monolingual,AD,14.9,3.5
Berkes et al 2020,79.8,8.4,75,bilingual,AD,13.9,3.6
Bialystok et al 2007,71.4,9.6,91,monolingual,AD,12.4,3.8
Bialystok et al 2007,75.5,8.5,93,bilingual,AD,10.8,4.2
Bialystok et al 2014,70.9,11,35,monolingual,AD,12.5,3.7
Bialystok et al 2014,78.2,8.9,40,bilingual,AD,12.2,4.9
Clare et al 2016,76.23,8.75,49,monolingual,AD,12.31,3.04
Clare et al 2016,79.27,6.78,37,bilingual,AD,11.84,2.46
Craik et al 2010,72.6,10,109,monolingual,AD,12.6,4.1
Craik et al 2010,77.7,7.9,102,bilingual,AD,10.6,5.1
de Leon et al 2020,60.3,9.8,242,monolingual,AD,15.8,3.3
de Leon et al 2020,61.9,9.8,44,bilingual,AD,16.2,2.7
 de Leon et al 2024,59,9.2,230,monolingual,FTD,15.8,3
de Leon et al 2024,61.4,7.9,78,bilingual,FTD,16.7,2.8
Kowoll et al 2016,71.6,7.9,14,monolingual,AD,11.7,3.7
Kowoll et al 2016,74.6,6.8,16,bilingual,AD,15.3,3.6
Ossher et al 2013,74.9,6.9,49,monolingual,single Domain aMCI,14.7,2.5
Ossher et al 2013,79.4,6.3,19,bilingual,single Domain aMCI,14.5,3.9
Ossher et al 2013,75.2,8.5,22,monolingual,multiple-domain aMCI,14.9,3.3
Ossher et al 2013,72.6,7.2,21,bilingual,multiple-domain aMCI,15,3.3
Ramakrishnan et al 2017,55.8,12.2,22,monolingual,MCI,10.4,3.7
Ramakrishnan et al 2017,63.2,10.1,93,bilingual,MCI,15.5,3.3
Mendez  Chavez & Akhlaghipour 2020,58,10.7,179,monolingual,AD,14.5,4.2
Mendez  Chavez & Akhlaghipour 2020,62.4,10.5,74,bilingual,AD,14.8,4.8
Woumans et al 2015,73.8,8.8,69,monolingual,AD,13.5,2.8
Woumans et al 2015,75.5,8.2,65,bilingual,AD,14.7,3.1
Zheng et al 2018,63.9,9.65,48,monolingual,AD,4.92,3.85
Zheng et al 2018,63.4,8.94,20,monolingual,AD,10.95,3.28
Zheng et al 2018,70.93,9.37,61,bilingual,AD,10.79,2.38
